# klaverjas spoor; spellen=200; zaad=6
15;1;3;1;0;V;3
15;2;0;2;1;A;8
15;2;1;3;1;B;34
15;2;2;4;2;7;69
15;2;3;1;1;7;38
15;3;0;2;1;H;8
15;3;1;3;1;V;40
15;3;2;4;3;T;69
15;3;3;1;0;H;29
15;4;0;3;3;A;9
15;4;1;4;2;V;53
15;4;2;1;3;7;36
15;4;3;2;3;8;3
15;5;0;3;2;9;13
15;5;1;4;2;H;16
15;5;2;1;2;8;23
15;5;3;2;3;B;53
15;6;0;2;0;B;58
15;6;1;3;3;9;53
15;6;2;4;2;T;69
15;6;3;1;0;T;3
15;7;0;4;1;9;13
15;7;1;3;1;8;40
15;7;2;2;1;T;36
15;7;3;1;0;A;29
15;8;0;3;2;B;13
15;8;1;4;3;V;53
15;8;2;1;2;A;36
15;8;3;2;0;7;29
15;=;0;56;96;20;10
16;1;0;3;0;A;7
16;1;1;4;0;7;40
16;1;2;1;0;9;67
16;1;3;2;0;V;3
16;2;0;1;3;A;7
16;2;1;4;3;T;34
16;2;2;3;3;V;36
16;2;3;2;0;8;29
16;3;0;4;2;A;7
16;3;1;3;2;8;40
16;3;2;2;2;7;4
16;3;3;1;2;B;3
16;4;0;4;2;V;13
16;4;1;3;3;9;53
16;4;2;2;2;T;4
16;4;3;1;2;9;38
16;5;0;4;1;V;13
16;5;1;3;1;T;16
16;5;2;2;1;8;23
16;5;3;1;1;A;46
16;6;0;1;0;B;58
16;6;1;4;3;H;53
16;6;2;3;3;B;53
16;6;3;2;0;T;38
16;7;0;3;1;B;13
16;7;1;4;1;H;40
16;7;2;1;1;7;36
16;7;3;2;1;9;38
16;8;0;4;3;8;5
16;8;1;3;0;H;65
16;8;2;2;2;H;53
16;8;3;1;3;7;38
16;=;0;96;56;10;0
17;1;0;4;1;T;7
17;1;1;3;1;V;40
17;1;2;2;1;B;4
17;1;3;1;1;9;38
17;2;0;4;3;7;2
17;2;1;3;3;9;40
17;2;2;2;3;B;6
17;2;3;1;0;7;53
17;3;0;4;1;H;9
17;3;1;3;2;7;53
17;3;2;2;1;A;36
17;3;3;1;0;8;53
17;4;0;2;0;A;8
17;4;1;3;0;9;40
17;4;2;4;2;T;52
17;4;3;1;0;V;3
17;5;0;2;3;8;7
17;5;1;3;3;V;40
17;5;2;4;3;H;6
17;5;3;1;2;V;53
17;6;0;4;3;A;55
17;6;1;3;2;8;53
17;6;2;2;3;T;36
17;6;3;1;2;H;53
17;7;0;4;1;8;9
17;7;1;3;2;9;53
17;7;2;2;2;B;68
17;7;3;1;0;T;53
17;8;0;4;1;7;9
17;8;1;3;0;B;53
17;8;2;2;0;H;53
17;8;3;1;2;A;53
17;=;3;0;152;0;80
18;1;0;3;3;7;7
18;1;1;4;3;8;42
18;1;2;1;3;B;6
18;1;3;2;3;V;3
18;2;0;3;1;T;11
18;2;1;4;1;H;40
18;2;2;1;1;9;4
18;2;3;2;1;A;46
18;3;0;4;0;A;7
18;3;1;3;0;7;34
18;3;2;2;0;H;4
18;3;3;1;0;V;38
18;4;0;4;3;9;57
18;4;1;3;2;8;53
18;4;2;2;3;H;36
18;4;3;1;3;A;38
18;5;0;4;0;T;9
18;5;1;3;0;8;40
18;5;2;2;0;B;36
18;5;3;1;1;8;53
18;6;0;4;0;9;9
18;6;1;3;2;9;53
18;6;2;2;2;T;68
18;6;3;1;2;V;53
18;7;0;4;3;T;55
18;7;1;3;2;B;53
18;7;2;2;1;B;68
18;7;3;1;2;H;53
18;8;0;4;1;7;13
18;8;1;3;1;V;40
18;8;2;2;2;7;53
18;8;3;1;2;A;53
18;=;3;37;115;10;20
19;1;0;2;3;9;7
19;1;1;3;3;H;40
19;1;2;4;3;B;6
19;1;3;1;3;A;3
19;2;0;4;2;A;9
19;2;1;3;2;7;34
19;2;2;2;2;9;4
19;2;3;1;2;V;3
19;3;0;2;2;B;54
19;3;1;3;2;8;34
19;3;2;4;3;8;12
19;3;3;1;2;H;38
19;4;0;4;1;8;13
19;4;1;3;0;8;53
19;4;2;2;1;V;36
19;4;3;1;1;T;46
19;5;0;3;0;A;7
19;5;1;4;0;V;40
19;5;2;1;0;B;36
19;5;3;2;0;7;3
19;6;0;1;3;T;58
19;6;1;4;1;9;53
19;6;2;3;2;T;69
19;6;3;2;3;7;38
19;7;0;3;0;H;13
19;7;1;4;1;B;53
19;7;2;1;1;7;53
19;7;3;2;0;T;46
19;8;0;4;1;H;5
19;8;1;3;3;V;65
19;8;2;2;0;9;53
19;8;3;1;1;A;38
19;=;3;67;85;10;0
20;1;0;3;2;T;7
20;1;1;4;2;8;34
20;1;2;1;2;9;67
20;1;3;2;2;7;38
20;2;0;3;2;V;7
20;2;1;4;2;H;40
20;2;2;1;2;B;6
20;2;3;2;3;8;53
20;3;0;3;2;A;55
20;3;1;4;3;B;53
20;3;2;1;0;H;68
20;3;3;2;1;7;53
20;4;0;3;0;A;7
20;4;1;4;0;V;34
20;4;2;1;0;7;4
20;4;3;2;0;8;38
20;5;0;3;3;9;13
20;5;1;4;3;H;40
20;5;2;1;3;7;23
20;5;3;2;3;T;38
20;6;0;4;0;T;9
20;6;1;3;1;V;53
20;6;2;2;1;B;68
20;6;3;1;0;9;3
20;7;0;4;1;A;9
20;7;1;3;1;H;40
20;7;2;2;1;9;4
20;7;3;1;0;B;53
20;8;0;2;1;T;8
20;8;1;3;3;A;53
20;8;2;4;1;8;36
20;8;3;1;3;V;53
20;=;2;82;70;90;10
21;1;0;4;3;V;7
21;1;1;3;3;7;40
21;1;2;2;3;B;6
21;1;3;1;3;8;3
21;2;0;4;0;A;9
21;2;1;3;0;B;40
21;2;2;2;0;8;36
21;2;3;1;0;7;38
21;3;0;2;3;9;58
21;3;1;3;1;9;53
21;3;2;4;1;H;69
21;3;3;1;3;H;3
21;4;0;4;2;T;11
21;4;1;3;2;H;40
21;4;2;2;2;B;4
21;4;3;1;2;A;46
